Fold,Training time,Testing time
1,624.6702767850074,0.023758102004649118
2,620.7483084440028,0.023991000998648815
3,657.197332863987,0.023580626002512872
4,613.5156353249913,0.019488887992338277
5,604.9200661380019,0.01955058799649123
6,606.0091904569999,0.01959915600309614
7,606.4466611899988,0.019380376004846767
8,604.8964431839995,0.019516655011102557
9,602.4450077119982,0.019484545991872437
10,603.7756549920014,0.019443081997451372
